date,country,channel,campaign,device,group,impressions,clicks,conversions,spend_usd
2025-02-14,TW,Facebook,Flight,desktop,A,7717,281,12,232.69
2025-02-10,KR,Google,Vacation,desktop,B,5513,289,15,312.95
2025-01-15,KR,Naver,Hotel,mobile,A,14605,402,13,206.84
2025-02-04,JP,Naver,Hotel,mobile,B,7049,290,11,385.23
2025-01-22,KR,Facebook,Hotel,mobile,B,14648,666,35,190.93
2025-01-28,TW,Baidu,Hotel,desktop,A,11939,346,17,112.63
2025-03-03,TW,Facebook,Hotel,mobile,A,7964,264,17,103.56
2025-02-26,KR,Baidu,Hotel,mobile,A,466,16,0,22.81
2025-02-24,KR,Twitter,Vacation,mobile,A,6856,190,9,109.77
2025-02-02,JP,Twitter,Vacation,desktop,A,11786,356,10,232.47
2025-03-28,TH,Twitter,Vacation,mobile,B,6285,268,18,251.6
2025-01-08,JP,Facebook,Hotel,desktop,B,4850,232,11,319.06
2025-01-31,JP,Naver,Vacation,desktop,B,3539,132,6,139.55
2025-01-11,TW,Baidu,Hotel,mobile,A,4412,144,7,164.94
2025-01-31,JP,Twitter,Hotel,desktop,B,7754,288,17,317.14
2025-03-28,JP,Facebook,Hotel,desktop,A,12858,434,24,569.73
2025-02-02,JP,Twitter,Hotel,desktop,B,14878,628,26,435.25
2025-03-23,KR,Facebook,Flight,mobile,B,11409,504,28,737.66
2025-02-14,JP,Naver,Vacation,mobile,A,9954,267,9,275.2
2025-03-04,TW,Naver,Flight,mobile,A,12748,366,14,228.28
2025-02-11,TW,Twitter,Vacation,desktop,A,5039,153,8,24.03
2025-01-24,SG,Naver,Hotel,mobile,B,8913,358,14,125.7
2025-03-10,TW,Baidu,Hotel,mobile,A,7147,205,6,107.74
2025-03-29,TH,Naver,Hotel,mobile,A,857,22,0,32.98
2025-01-24,TH,Facebook,Hotel,mobile,A,7791,267,19,290.09
2025-03-12,JP,Google,Flight,mobile,B,2740,129,6,147.06
2025-01-24,TW,Naver,Hotel,mobile,A,13860,435,22,65.14
2025-03-06,TH,Twitter,Hotel,desktop,B,4343,189,12,39.68
2025-03-13,SG,Google,Hotel,mobile,A,12840,483,16,354.29
2025-02-10,KR,Facebook,Hotel,mobile,B,14175,633,36,635.06
2025-03-08,TW,Baidu,Flight,mobile,A,9446,280,18,404.27
2025-01-25,TW,Naver,Vacation,desktop,B,11290,442,19,46.36
2025-01-08,TH,Naver,Vacation,desktop,A,7802,226,8,276.78
2025-01-09,SG,Naver,Vacation,mobile,B,3817,160,7,19.9
2025-02-10,SG,Google,Vacation,mobile,A,2565,103,6,42.18
2025-03-23,KR,Google,Hotel,mobile,A,10785,425,12,628.75
2025-01-12,JP,Google,Hotel,mobile,A,12804,516,24,249.06
2025-02-11,TW,Google,Hotel,mobile,B,385,25,1,22.91
2025-03-05,TW,Facebook,Flight,desktop,B,10223,427,22,516.44
2025-01-19,KR,Facebook,Flight,mobile,B,10596,468,15,582.92
2025-03-06,KR,Facebook,Vacation,mobile,B,9497,430,13,594.82
2025-01-28,TH,Facebook,Vacation,desktop,B,14840,688,31,646.51
2025-03-14,JP,Naver,Flight,desktop,A,6478,185,5,238.54
2025-02-22,SG,Facebook,Vacation,desktop,B,12132,567,34,348.43
2025-02-19,TW,Facebook,Flight,desktop,A,6639,212,8,285.86
2025-01-16,JP,Google,Hotel,mobile,B,9975,523,31,215.35
2025-02-11,TW,Facebook,Hotel,desktop,B,13312,614,26,828.49
2025-03-19,SG,Naver,Flight,mobile,A,4335,140,7,123.11
2025-01-02,SG,Facebook,Hotel,desktop,A,14692,501,20,167.09
2025-03-10,KR,Twitter,Flight,desktop,A,2528,67,2,65.83
2025-02-14,TH,Baidu,Flight,desktop,B,11150,457,21,313.39
2025-03-06,TH,Google,Hotel,mobile,A,5963,232,11,210.92
2025-03-01,JP,Naver,Flight,desktop,B,12840,505,35,60.93
2025-02-08,SG,Twitter,Hotel,desktop,A,5112,167,3,18.68
2025-01-28,SG,Google,Flight,mobile,A,9241,381,17,47.08
2025-02-26,KR,Facebook,Hotel,desktop,B,13667,641,24,435.32
2025-01-13,SG,Facebook,Vacation,mobile,A,8948,307,16,235.21
2025-02-22,KR,Naver,Hotel,mobile,A,5357,171,12,140.72
2025-01-09,KR,Facebook,Vacation,mobile,A,8309,284,10,181.14
2025-02-28,KR,Baidu,Hotel,mobile,B,9899,407,23,472.75
2025-02-26,TW,Naver,Flight,mobile,B,5040,190,10,166.77
2025-01-08,KR,Baidu,Vacation,mobile,A,8424,247,11,195.2
2025-03-10,SG,Facebook,Hotel,desktop,A,11637,400,15,481.32
2025-02-07,JP,Google,Flight,mobile,A,5203,199,6,196.58
2025-03-12,KR,Google,Hotel,mobile,A,14542,581,23,85.27
2025-01-04,JP,Twitter,Flight,desktop,B,421,21,1,23.99
2025-01-17,JP,Twitter,Flight,desktop,A,4010,145,3,25.85
2025-02-14,TW,Baidu,Flight,desktop,B,13457,501,26,106.05
2025-01-17,JP,Facebook,Hotel,mobile,B,3186,165,7,180.33
2025-01-30,KR,Twitter,Hotel,mobile,A,5186,156,4,40.14
2025-03-01,TW,Facebook,Vacation,desktop,A,1461,53,1,43.71
2025-01-14,JP,Google,Flight,desktop,B,8539,444,21,262.05
2025-03-02,TH,Facebook,Flight,desktop,B,585,24,2,6.05
2025-01-10,SG,Google,Vacation,desktop,A,6087,237,10,230.19
2025-01-16,KR,Facebook,Vacation,mobile,B,3308,151,12,18.03
2025-02-22,SG,Baidu,Flight,desktop,A,5528,169,5,129.91
2025-03-13,JP,Naver,Hotel,desktop,B,12165,541,30,510.65
2025-01-16,KR,Baidu,Flight,desktop,A,11296,361,16,177.76
2025-01-27,JP,Twitter,Flight,desktop,A,11906,361,13,121.53
2025-03-25,TW,Facebook,Flight,desktop,A,4772,201,10,181.6
2025-03-31,TW,Baidu,Vacation,desktop,A,10659,313,14,247.8
2025-02-22,KR,Twitter,Hotel,desktop,B,5862,280,15,309.04
2025-02-10,TH,Twitter,Hotel,mobile,B,8340,320,14,110.72
2025-02-01,JP,Twitter,Flight,mobile,B,1619,61,3,72.17
2025-02-25,SG,Facebook,Vacation,mobile,B,14278,680,20,816.31
2025-02-23,TH,Baidu,Flight,desktop,A,14490,419,15,410.99
2025-01-27,TH,Twitter,Vacation,mobile,A,276,4,0,1.84
2025-01-03,JP,Naver,Hotel,desktop,B,11993,466,26,531.43
2025-01-14,TH,Naver,Flight,desktop,A,8022,262,13,45.95
2025-03-28,TW,Google,Flight,desktop,B,1289,68,7,43.12
2025-02-07,KR,Google,Flight,mobile,A,8389,370,13,287.04
2025-02-13,KR,Google,Hotel,desktop,A,9075,354,19,35.87
2025-02-12,JP,Facebook,Hotel,mobile,A,2033,67,1,75.97
2025-03-12,TW,Naver,Hotel,desktop,A,9970,306,10,442.7
2025-01-06,SG,Naver,Hotel,mobile,A,5021,163,12,66.78
2025-01-08,KR,Facebook,Vacation,mobile,A,2050,70,1,64.23
2025-01-25,TW,Twitter,Flight,mobile,B,382,13,0,8.16
2025-02-13,TH,Naver,Vacation,desktop,B,14221,563,30,227.38
2025-03-02,JP,Facebook,Flight,desktop,A,11990,437,28,114.41
2025-02-14,TW,Naver,Vacation,desktop,A,12615,374,16,433.63
2025-02-09,TH,Baidu,Hotel,mobile,A,2880,88,4,111.91
2025-03-26,KR,Baidu,Vacation,desktop,A,4099,133,4,15.21
2025-01-15,SG,Facebook,Vacation,mobile,B,8664,382,12,381.23
2025-02-21,SG,Twitter,Hotel,mobile,A,2380,88,4,74.26
2025-02-18,JP,Naver,Flight,desktop,B,5864,215,12,141.65
2025-02-12,JP,Google,Hotel,desktop,B,13052,622,34,803.48
2025-03-14,KR,Facebook,Vacation,mobile,A,10050,343,12,359.29
2025-01-25,KR,Google,Flight,mobile,A,10728,421,19,493.27
2025-03-27,KR,Google,Vacation,desktop,B,10914,532,30,500.74
2025-01-30,TW,Twitter,Hotel,desktop,A,14989,450,21,584.16
2025-02-19,SG,Naver,Flight,mobile,A,2648,71,3,86.43
2025-02-16,TH,Naver,Hotel,mobile,A,10825,316,6,254.46
2025-03-18,TW,Twitter,Hotel,desktop,A,9812,311,8,454.77
2025-02-09,SG,Naver,Flight,mobile,A,4031,121,4,23.5
2025-01-26,TH,Twitter,Vacation,mobile,B,5008,189,9,90.57
2025-01-02,JP,Twitter,Hotel,mobile,A,11980,327,12,35.28
2025-02-02,KR,Naver,Vacation,desktop,B,6154,270,10,262.63
2025-03-16,KR,Twitter,Vacation,desktop,B,9949,400,14,426.9
2025-01-01,SG,Baidu,Vacation,mobile,A,3095,95,4,27.54
2025-03-22,KR,Baidu,Vacation,mobile,B,597,22,0,32.65
2025-02-18,SG,Facebook,Hotel,mobile,B,3112,141,9,86.07
2025-01-13,KR,Baidu,Vacation,mobile,A,12728,401,18,500.48
2025-01-28,TH,Twitter,Vacation,desktop,A,13210,377,16,319.97
2025-02-19,KR,Twitter,Hotel,desktop,A,9240,301,11,412.75
2025-01-29,SG,Baidu,Flight,mobile,B,13283,507,18,278.1
2025-01-10,TW,Baidu,Flight,desktop,B,5495,213,12,246.99
2025-03-01,TH,Facebook,Flight,desktop,B,9259,415,16,583.27
2025-03-02,TH,Naver,Flight,desktop,B,1927,68,3,32.23
2025-01-11,TH,Naver,Vacation,mobile,B,9763,432,15,592.27
2025-01-26,TW,Baidu,Hotel,mobile,B,9963,419,21,307.31
2025-01-22,TH,Google,Vacation,desktop,B,2070,109,4,72.32
2025-03-01,JP,Baidu,Hotel,mobile,B,2753,119,2,18.04
2025-03-07,KR,Facebook,Vacation,desktop,B,11014,475,23,231.57
2025-03-07,JP,Twitter,Flight,mobile,A,13307,394,15,536.8
2025-03-26,TH,Baidu,Vacation,mobile,A,2155,61,0,32.92
2025-03-11,JP,Twitter,Hotel,mobile,B,7255,299,9,95.89
2025-01-29,KR,Naver,Vacation,desktop,A,7436,220,6,107.05
2025-01-10,TW,Baidu,Flight,mobile,B,11597,470,19,562.56
2025-02-25,KR,Naver,Vacation,desktop,A,4613,151,8,131.02
2025-03-24,JP,Google,Hotel,mobile,B,14366,731,41,1040.21
2025-03-29,TW,Google,Flight,mobile,A,11886,503,13,208.21
2025-01-21,SG,Facebook,Hotel,mobile,A,3398,137,4,205.47
2025-01-22,TH,Baidu,Vacation,desktop,A,3970,120,5,14.3
2025-01-04,TH,Naver,Vacation,desktop,B,8919,339,19,79.06
2025-01-13,TH,Twitter,Flight,desktop,A,12566,355,14,83.47
2025-02-19,TH,Google,Flight,mobile,A,4384,176,5,262.19
2025-02-19,KR,Google,Hotel,desktop,B,13948,646,29,145.56
2025-02-03,KR,Facebook,Hotel,mobile,A,13761,445,11,451.87
2025-01-28,JP,Baidu,Flight,mobile,B,7195,303,13,207.78
2025-03-16,TH,Baidu,Vacation,desktop,A,8169,231,9,208.22
2025-02-11,JP,Google,Flight,desktop,B,14301,704,32,659.87
2025-03-14,TW,Google,Vacation,desktop,A,5431,226,9,174.52
2025-03-28,KR,Facebook,Flight,mobile,A,13643,469,19,551.71
2025-01-29,TW,Facebook,Hotel,desktop,A,4111,140,1,199.62
2025-01-19,KR,Naver,Hotel,desktop,A,1800,57,3,7.62
2025-03-27,TH,Twitter,Flight,desktop,B,2985,124,8,179.83
2025-02-27,JP,Naver,Vacation,desktop,A,8837,277,6,298.5
2025-01-27,KR,Baidu,Vacation,desktop,A,13081,416,9,76.06
2025-02-25,KR,Facebook,Hotel,mobile,B,2669,122,8,143.94
2025-02-16,JP,Facebook,Vacation,mobile,B,1841,79,1,44.8
2025-03-23,JP,Naver,Flight,desktop,A,12375,368,21,234.41
2025-01-24,TW,Baidu,Hotel,desktop,A,8351,248,5,63.81
2025-03-31,JP,Google,Hotel,desktop,B,10134,515,28,714.48
2025-03-26,TH,Facebook,Flight,mobile,B,12842,591,29,303.82
2025-01-17,SG,Naver,Vacation,mobile,B,9581,383,13,230.95
2025-01-15,TH,Google,Vacation,desktop,B,13560,679,40,872.99
2025-02-17,KR,Google,Vacation,desktop,A,8406,351,25,338.78
2025-01-05,TW,Twitter,Hotel,mobile,B,13604,544,24,590.34
2025-01-27,KR,Twitter,Flight,desktop,A,14972,498,21,675.41
2025-02-09,TH,Naver,Vacation,desktop,A,1164,34,2,38.73
2025-03-29,TH,Baidu,Flight,mobile,A,6167,192,9,214.4
2025-03-31,SG,Naver,Flight,mobile,A,11179,336,13,59.58
2025-01-14,TH,Naver,Flight,desktop,B,924,26,2,34.88
2025-03-22,JP,Twitter,Flight,mobile,B,238,9,2,8.12
2025-01-09,KR,Facebook,Hotel,mobile,B,13741,606,34,114.71
2025-03-09,TW,Facebook,Vacation,mobile,B,10563,506,21,590.23
2025-03-18,TW,Baidu,Vacation,desktop,A,2307,60,7,60.94
2025-03-22,JP,Naver,Flight,mobile,B,6872,269,15,219.61
2025-01-21,KR,Naver,Hotel,mobile,B,14043,566,29,266.88
2025-03-22,KR,Naver,Hotel,desktop,B,14598,573,19,726.66
2025-01-11,JP,Twitter,Flight,desktop,B,5735,244,11,163.89
2025-02-16,SG,Facebook,Flight,mobile,A,8845,297,8,269.88
2025-02-12,SG,Google,Hotel,desktop,B,8377,438,22,154.76
2025-01-29,JP,Twitter,Flight,mobile,A,10058,297,11,127.73
2025-01-02,TW,Facebook,Vacation,mobile,A,8190,294,11,110.12
2025-03-11,KR,Naver,Hotel,mobile,B,6108,259,9,122.33
2025-01-31,SG,Baidu,Flight,mobile,B,9893,407,17,509.83
2025-03-01,KR,Facebook,Flight,desktop,A,6717,227,9,168.2
2025-02-06,KR,Naver,Flight,desktop,A,11844,367,16,184.59
2025-02-03,KR,Naver,Flight,desktop,B,4154,161,5,22.41
2025-03-21,TW,Facebook,Flight,desktop,B,5401,203,8,200.72
2025-01-09,TW,Google,Vacation,desktop,A,5786,263,6,60.41
2025-03-08,JP,Google,Vacation,desktop,A,10323,429,22,163.95
2025-03-09,KR,Baidu,Hotel,desktop,A,4560,149,5,216.23
2025-02-04,KR,Baidu,Vacation,desktop,B,8200,316,16,109.84
2025-01-24,SG,Twitter,Vacation,desktop,A,11082,314,11,150.59
2025-01-01,SG,Google,Flight,desktop,B,5441,288,16,343.71
2025-03-26,JP,Facebook,Hotel,desktop,B,653,24,1,25.97
2025-03-27,JP,Facebook,Vacation,desktop,B,4912,227,18,167.52
2025-01-22,JP,Baidu,Flight,desktop,B,4899,181,7,218.36
2025-01-03,KR,Google,Flight,desktop,B,2948,171,5,183.05
2025-01-12,TW,Baidu,Flight,mobile,A,4058,115,3,22.75
2025-01-07,KR,Twitter,Vacation,mobile,A,4294,140,4,151.82
2025-03-16,TW,Twitter,Vacation,desktop,A,8802,279,14,104.8
